gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
female,group E,some college,standard,completed,65,72,67
female,group C,some college,standard,none,51,71,70
male,group C,some college,free/reduced,none,46,53,43
male,group E,high school,standard,completed,71,81,66
male,group B,associate's degree,free/reduced,none,78,81,82
male,group D,high school,standard,none,82,81,79
male,group D,associate's degree,standard,none,58,50,58
male,group B,associate's degree,standard,none,87,68,78
female,group C,some college,free/reduced,none,70,74,67
female,group B,bachelor's degree,standard,none,65,68,64
male,group B,high school,standard,none,83,82,77
male,group C,bachelor's degree,free/reduced,completed,71,68,77
female,group C,associate's degree,standard,completed,61,70,59
female,group D,associate's degree,standard,none,80,79,80
male,group E,associate's degree,standard,none,77,77,86
female,group D,bachelor's degree,free/reduced,none,64,67,62
female,group B,master's degree,standard,completed,70,97,90
male,group B,some college,standard,completed,65,65,69
male,group B,associate's degree,standard,none,79,77,83
female,group B,associate's degree,standard,none,74,66,74
male,group E,some college,standard,none,80,80,72
female,group C,bachelor's degree,standard,completed,78,93,90
male,group B,some college,standard,completed,67,63,56
female,group D,some college,standard,none,47,75,60
male,group C,some high school,free/reduced,none,16,24,30
female,group A,high school,standard,none,72,72,84
female,group B,bachelor's degree,standard,completed,60,67,68
male,group D,some college,free/reduced,completed,62,65,73
female,group D,some college,free/reduced,none,65,66,63
female,group B,high school,free/reduced,none,67,67,67
female,group E,some college,standard,none,54,52,58
male,group D,associate's degree,standard,none,68,64,77
male,group D,bachelor's degree,standard,completed,100,100,100
male,group B,some high school,standard,none,90,91,87
female,group A,some college,standard,completed,98,94,100
female,group E,some college,standard,none,57,81,77
female,group C,associate's degree,standard,none,49,62,68
male,group D,some college,standard,none,80,81,80
male,group D,some college,standard,none,62,71,67
male,group B,some college,standard,none,77,78,75
male,group D,some college,free/reduced,completed,57,62,62
female,group E,some college,free/reduced,none,51,64,66
male,group D,some college,standard,none,72,73,66
female,group C,associate's degree,standard,none,75,77,75
female,group E,associate's degree,standard,none,75,89,85
female,group C,high school,standard,completed,62,68,68
female,group D,associate's degree,free/reduced,completed,46,55,49
female,group D,bachelor's degree,standard,none,96,100,100
female,group D,some high school,standard,completed,98,100,100
female,group C,some college,standard,completed,84,83,84
male,group B,high school,standard,completed,53,55,56
female,group B,associate's degree,standard,none,63,61,56
female,group C,high school,standard,none,75,71,73
male,group C,associate's degree,free/reduced,none,87,78,81
male,group C,high school,standard,completed,52,59,56
male,group C,some college,standard,completed,74,82,70
female,group D,master's degree,standard,none,71,86,79
male,group E,some college,standard,none,79,69,76
female,group B,bachelor's degree,standard,completed,81,84,82
female,group D,master's degree,standard,completed,66,63,54
male,group D,bachelor's degree,free/reduced,none,68,76,68
male,group C,some high school,standard,completed,87,89,79
male,group B,associate's degree,standard,none,70,69,71
male,group D,some high school,standard,none,74,70,61
male,group E,some college,standard,none,54,63,62
female,group D,bachelor's degree,standard,completed,59,80,80
female,group E,associate's degree,free/reduced,completed,84,87,95
female,group E,some college,standard,none,63,84,68
female,group C,some college,standard,none,72,84,80
male,group D,associate's degree,free/reduced,none,85,87,78
female,group C,associate's degree,standard,none,55,50,52
male,group E,some college,standard,none,61,67,60
male,group B,bachelor's degree,standard,none,75,75,82
male,group C,high school,free/reduced,none,53,53,51
female,group E,some high school,standard,none,75,74,75
female,group C,associate's degree,free/reduced,none,52,56,64
male,group D,master's degree,free/reduced,completed,61,71,48
male,group C,high school,free/reduced,none,60,54,54
male,group E,high school,free/reduced,none,69,66,55
male,group E,some high school,free/reduced,completed,80,77,76
male,group C,bachelor's degree,free/reduced,none,76,68,68
female,group D,high school,free/reduced,none,58,67,66
male,group C,some college,free/reduced,none,62,58,62
female,group D,master's degree,free/reduced,none,60,68,67
male,group D,some high school,free/reduced,none,43,39,45
male,group D,some college,standard,none,69,72,74
female,group A,some college,standard,none,68,72,65
female,group B,associate's degree,standard,none,98,100,100
female,group D,high school,free/reduced,none,73,73,84
male,group C,some college,standard,none,82,83,75
female,group C,some high school,free/reduced,none,58,63,62
female,group A,associate's degree,free/reduced,none,61,61,68
female,group C,associate's degree,free/reduced,completed,41,58,47
female,group E,some high school,standard,none,58,64,72
female,group A,some college,free/reduced,none,58,58,56
female,group C,bachelor's degree,free/reduced,none,68,80,68
female,group E,some high school,free/reduced,none,55,64,59
female,group A,high school,free/reduced,completed,64,81,92
female,group D,some college,standard,none,51,60,59
female,group B,high school,standard,none,54,66,57
female,group E,high school,standard,completed,95,97,97
male,group D,some college,free/reduced,completed,87,71,79
female,group E,high school,standard,completed,70,69,70
female,group B,some college,free/reduced,none,55,68,59
female,group C,associate's degree,free/reduced,none,57,67,44
female,group D,some college,standard,none,72,72,72
female,group B,some high school,standard,none,66,81,74
female,group B,bachelor's degree,standard,none,100,100,100
male,group A,some high school,free/reduced,completed,60,64,71
female,group E,associate's degree,standard,none,86,83,83
female,group D,high school,standard,none,41,48,48
female,group D,associate's degree,free/reduced,none,48,53,51
female,group D,high school,standard,none,82,88,92
female,group C,high school,free/reduced,none,63,68,63
male,group C,some college,standard,completed,10,5,5
male,group C,some high school,standard,none,72,73,73
female,group D,high school,standard,none,90,97,100
female,group B,associate's degree,standard,none,40,51,44
female,group E,bachelor's degree,standard,none,93,90,100
female,group D,some high school,free/reduced,none,8,15,11
male,group C,bachelor's degree,standard,completed,90,94,100
female,group C,associate's degree,standard,none,69,79,70
female,group B,bachelor's degree,standard,none,35,43,42
male,group E,associate's degree,standard,completed,85,95,86
female,group E,associate's degree,free/reduced,none,77,84,84
female,group E,some college,standard,completed,84,84,86
male,group C,associate's degree,free/reduced,none,74,71,66
female,group B,bachelor's degree,standard,none,68,70,75
female,group B,some high school,standard,completed,40,53,55
female,group B,high school,standard,none,72,74,77
male,group B,some high school,standard,none,86,86,81
female,group A,master's degree,free/reduced,none,78,89,89
female,group E,some college,standard,completed,45,58,48
female,group A,associate's degree,standard,none,42,42,50
female,group B,bachelor's degree,free/reduced,none,49,62,57
male,group D,master's degree,standard,completed,57,62,58
female,group C,some high school,free/reduced,completed,52,57,64
male,group D,associate's degree,free/reduced,none,71,52,66
male,group D,bachelor's degree,free/reduced,none,41,36,49
male,group E,some high school,free/reduced,none,62,66,65
female,group D,associate's degree,free/reduced,none,62,73,66
male,group C,high school,standard,none,61,63,52
male,group D,associate's degree,free/reduced,none,66,56,59
female,group C,some college,standard,none,35,39,37
male,group C,high school,free/reduced,none,51,51,44
male,group C,some high school,free/reduced,completed,68,63,65
female,group B,some high school,standard,none,55,71,72
male,group D,some high school,free/reduced,completed,78,64,65
female,group B,associate's degree,free/reduced,completed,82,81,77
male,group B,high school,standard,none,50,61,63
male,group B,high school,standard,completed,79,75,82
female,group D,associate's degree,free/reduced,completed,78,84,90
male,group C,associate's degree,free/reduced,none,59,65,46
female,group D,some college,standard,completed,77,84,83
male,group D,bachelor's degree,standard,none,76,68,73
male,group A,some college,free/reduced,completed,57,63,55
female,group D,bachelor's degree,standard,none,75,96,85
female,group C,some high school,standard,none,52,60,62
female,group B,associate's degree,standard,none,77,86,80
female,group D,master's degree,standard,completed,77,94,95
female,group E,bachelor's degree,standard,none,59,70,78
female,group C,some college,free/reduced,none,62,58,56
female,group C,associate's degree,free/reduced,none,48,51,55
female,group C,high school,free/reduced,none,29,36,21
male,group C,associate's degree,standard,completed,83,82,83
male,group D,associate's degree,standard,completed,86,81,75
male,group D,master's degree,standard,none,99,86,90
female,group D,some college,standard,none,61,63,64
male,group B,some high school,standard,none,85,95,95
male,group D,some college,standard,none,57,63,70
female,group D,some high school,standard,completed,54,53,61
female,group D,high school,standard,completed,56,60,74
male,group A,high school,free/reduced,none,23,25,32
female,group C,associate's degree,standard,none,96,98,90
female,group C,high school,free/reduced,none,70,83,77
male,group A,some high school,free/reduced,none,71,64,61
female,group B,some high school,standard,none,57,51,56
female,group C,bachelor's degree,standard,completed,100,100,100
male,group D,associate's degree,standard,none,68,64,64
male,group B,some high school,standard,completed,62,63,67
female,group D,some high school,standard,none,86,92,86
male,group C,some college,standard,none,77,83,82
male,group D,high school,standard,none,95,100,100
male,group C,some college,standard,none,72,70,78
male,group C,some college,free/reduced,none,51,60,51
female,group D,bachelor's degree,free/reduced,none,51,56,63
female,group E,high school,free/reduced,completed,40,45,33
male,group C,associate's degree,standard,none,63,65,59
female,group C,some high school,standard,completed,95,91,86
male,group D,master's degree,standard,completed,88,82,94
male,group D,master's degree,free/reduced,none,76,66,73
female,group A,associate's degree,standard,none,48,61,56
male,group C,some college,standard,none,73,71,70
female,group C,high school,standard,none,77,94,84
male,group E,associate's degree,free/reduced,completed,74,70,78
female,group C,associate's degree,standard,completed,83,82,82
male,group C,high school,standard,none,63,51,52
male,group E,some college,standard,none,88,79,75
female,group C,some college,standard,completed,25,40,30
male,group B,bachelor's degree,standard,completed,89,95,93
male,group B,associate's degree,standard,none,100,100,100
male,group B,associate's degree,standard,completed,52,54,52
male,group A,associate's degree,free/reduced,none,52,52,63
male,group C,high school,standard,none,65,74,63
female,group D,high school,free/reduced,none,49,59,60
female,group D,some high school,standard,none,67,82,89
female,group A,associate's degree,free/reduced,completed,73,72,79
male,group C,some college,standard,none,79,65,63
male,group B,some college,free/reduced,none,77,72,82
female,group E,high school,standard,none,62,73,72
female,group B,high school,free/reduced,none,95,96,100
male,group D,some college,standard,none,74,70,76
female,group C,high school,free/reduced,none,46,71,66
male,group D,some high school,free/reduced,completed,42,37,42
female,group C,associate's degree,standard,none,59,74,62
male,group D,some college,standard,completed,100,97,95
female,group B,some college,standard,none,38,48,46
female,group E,some college,standard,completed,47,48,50
male,group C,associate's degree,standard,completed,79,79,79
male,group D,high school,standard,none,86,83,88
female,group D,associate's degree,standard,none,62,70,73
female,group E,bachelor's degree,standard,completed,77,88,78
male,group B,associate's degree,free/reduced,none,37,30,28
male,group C,some college,standard,none,85,81,79
female,group B,associate's degree,free/reduced,none,73,72,81
female,group B,some college,standard,none,37,47,42
male,group C,some college,standard,none,81,89,88
male,group E,some college,standard,completed,82,86,90
male,group E,high school,free/reduced,none,82,77,74
male,group C,some high school,standard,completed,77,71,73
female,group D,some college,free/reduced,completed,82,82,73
male,group D,some high school,standard,none,75,60,67
male,group E,some college,standard,none,84,81,71
male,group B,some college,standard,none,41,47,48
female,group C,bachelor's degree,standard,none,52,59,56
female,group D,some high school,standard,none,50,50,55
male,group C,associate's degree,standard,none,68,64,58
female,group C,some college,standard,none,76,75,68
male,group E,some high school,standard,completed,77,78,76
female,group E,high school,standard,none,77,77,96
male,group E,some high school,free/reduced,none,75,71,67
male,group D,high school,standard,none,54,56,58
female,group B,high school,standard,none,71,73,71
female,group C,some college,free/reduced,completed,50,61,57
male,group C,some college,standard,none,61,68,72
male,group C,some high school,standard,none,78,66,67
female,group C,some high school,free/reduced,none,8,0,2
male,group D,some high school,free/reduced,none,95,90,97
male,group C,some college,free/reduced,none,66,63,67
female,group D,high school,standard,none,54,59,66
female,group C,some college,free/reduced,completed,100,100,95
female,group C,high school,standard,completed,66,81,79
female,group B,some high school,free/reduced,none,50,59,60
female,group B,master's degree,free/reduced,completed,75,74,72
female,group D,some high school,free/reduced,none,76,74,82
male,group C,some high school,standard,completed,80,72,67
female,group B,some high school,standard,none,57,69,69
male,group D,master's degree,free/reduced,none,88,91,82
female,group C,associate's degree,standard,none,88,80,87
female,group A,associate's degree,standard,none,68,73,72
male,group C,master's degree,free/reduced,completed,91,97,84
male,group B,some high school,standard,none,97,100,93
female,group D,master's degree,standard,none,85,80,76
female,group B,high school,standard,none,62,85,74
female,group A,associate's degree,standard,completed,79,80,78
male,group A,some college,standard,completed,91,96,98
female,group C,some college,standard,none,65,66,63
female,group A,bachelor's degree,free/reduced,none,63,65,62
female,group D,some high school,free/reduced,none,28,34,36
female,group B,master's degree,standard,completed,59,70,71
male,group D,some college,standard,completed,77,69,55
male,group C,associate's degree,free/reduced,none,59,55,58
female,group C,master's degree,free/reduced,completed,94,100,100
female,group A,some high school,free/reduced,none,51,64,73
female,group D,bachelor's degree,standard,completed,63,75,79
female,group E,some college,free/reduced,none,38,50,44
male,group A,associate's degree,standard,none,89,90,89
male,group B,some high school,standard,none,85,79,73
male,group E,some college,free/reduced,none,58,52,67
male,group C,associate's degree,standard,completed,75,72,77
male,group B,some college,standard,none,83,84,87
male,group B,some high school,standard,completed,58,64,57
female,group D,high school,standard,completed,88,78,90
female,group D,bachelor's degree,standard,completed,100,100,100
female,group D,some high school,free/reduced,completed,65,64,73
male,group E,associate's degree,standard,none,52,67,61
female,group C,master's degree,standard,none,88,82,84
male,group C,some high school,free/reduced,none,45,50,50
male,group C,some high school,standard,none,49,49,47
male,group C,associate's degree,free/reduced,completed,79,79,78
female,group B,some high school,standard,none,81,77,82
female,group A,some college,standard,none,65,61,73
female,group C,associate's degree,standard,none,61,73,76
male,group D,some college,free/reduced,none,51,39,40
male,group A,high school,standard,completed,69,75,71
male,group C,associate's degree,free/reduced,none,57,54,54
female,group D,some college,standard,completed,57,68,67
female,group D,high school,standard,none,95,100,95
female,group D,some college,standard,completed,79,83,96
male,group D,bachelor's degree,standard,none,83,78,84
male,group D,associate's degree,standard,none,79,88,86
female,group B,some college,standard,none,79,81,92
male,group C,high school,standard,none,62,48,58
female,group D,some high school,free/reduced,completed,61,73,68
male,group B,high school,standard,none,63,58,56
female,group A,some high school,standard,none,69,76,72
female,group B,master's degree,standard,completed,85,100,85
male,group C,high school,standard,none,61,62,64
female,group C,associate's degree,standard,none,44,60,56
female,group B,some high school,standard,completed,83,78,75
female,group D,high school,standard,none,67,75,66
female,group E,some college,free/reduced,completed,38,38,45
male,group B,high school,standard,none,81,75,68
male,group E,associate's degree,standard,completed,84,97,94
male,group A,master's degree,free/reduced,completed,100,100,100
female,group E,bachelor's degree,standard,completed,72,86,70
male,group E,some high school,standard,none,50,55,59
female,group A,associate's degree,free/reduced,completed,49,67,46
female,group D,some high school,free/reduced,none,56,71,59
female,group E,bachelor's degree,free/reduced,completed,77,80,72
male,group E,some college,standard,none,52,60,63
male,group E,high school,standard,none,67,71,58
male,group C,some high school,free/reduced,completed,33,28,24
female,group A,some high school,free/reduced,none,67,64,71
female,group D,high school,standard,none,50,66,56
male,group D,bachelor's degree,standard,completed,89,83,73
male,group D,associate's degree,standard,none,50,50,52
female,group C,master's degree,standard,none,75,72,61
female,group C,some high school,free/reduced,none,43,42,47
female,group B,some college,standard,none,70,71,68
male,group D,high school,standard,none,74,71,78
female,group A,some college,standard,none,86,98,100
male,group D,high school,standard,none,82,83,83
female,group D,high school,standard,none,77,87,83
male,group C,some college,standard,none,78,92,78
female,group C,high school,standard,none,58,71,80
female,group C,some college,free/reduced,none,62,65,68
female,group E,associate's degree,standard,none,90,92,95
female,group D,some high school,standard,none,87,89,85
male,group C,bachelor's degree,standard,completed,92,100,85
female,group B,some college,standard,none,38,43,47
male,group B,associate's degree,standard,none,57,57,68
female,group C,associate's degree,standard,none,64,67,62
female,group E,associate's degree,standard,none,75,87,79
male,group D,associate's degree,standard,completed,87,79,83
female,group B,bachelor's degree,free/reduced,completed,98,91,89
male,group D,associate's degree,standard,completed,100,100,92
male,group C,high school,standard,none,85,79,92
male,group D,some high school,standard,none,76,77,84
female,group B,associate's degree,standard,none,61,54,56
female,group D,some high school,standard,none,69,73,68
male,group E,high school,standard,none,57,53,68
female,group B,some high school,standard,none,39,43,42
female,group D,some college,standard,none,59,68,74
female,group E,some high school,free/reduced,completed,80,81,89
male,group B,associate's degree,free/reduced,none,61,73,65
male,group A,associate's degree,free/reduced,none,97,90,88
male,group D,associate's degree,standard,completed,82,87,88
male,group C,high school,standard,completed,100,100,100
female,group A,some college,standard,none,68,75,65
male,group C,some college,standard,none,69,67,72
female,group D,some college,standard,none,41,54,52
male,group C,associate's degree,standard,none,92,91,82
female,group C,high school,standard,none,53,61,63
male,group D,master's degree,standard,none,65,71,60
female,group C,some high school,standard,none,81,82,83
